account_reference,agent_version,billed_amount,claimed_completion_time,claimed_outcome_type,conversation_id,currency,customer_reference,invoice_id,outcome_id,vendor_claim_id,vendor_disposition
ACC-001381,support-v4.2,1.50,2026-06-02T08:01:00,order_update,CONV-001381,USD,CUST-001081,INV-NOVA-2026-06,OUT-001381,CLM-001381,resolved
ACC-001900,support-v4.2,1.50,2026-06-02T16:40:00,order_update,CONV-001900,USD,CUST-001900,INV-NOVA-2026-06,OUT-001900,CLM-001900,resolved
ACC-004821,refund-v2.3,1.50,2026-06-04T17:21:00,refund,CONV-004821,USD,CUST-004821,INV-NOVA-2026-06,OUT-004821,CLM-004821,resolved
ACC-009976,support-v4.2,1.50,2026-06-08T07:16:00,order_update,CONV-009976,USD,CUST-009976,INV-NOVA-2026-06,OUT-009976,CLM-009976,resolved
ACC-009977,support-v4.2,1.50,2026-06-08T07:17:00,order_update,CONV-009977,USD,CUST-009977,INV-NOVA-2026-06,OUT-009977,CLM-009977,resolved
ACC-009978,cancel-v3.1,1.50,2026-06-08T07:18:00,cancel_subscription,CONV-009978,USD,CUST-009978,INV-NOVA-2026-06,OUT-009978,CLM-009978,resolved
ACC-009979,support-v4.2,1.50,2026-06-08T07:19:00,order_update,CONV-009979,USD,CUST-009979,INV-NOVA-2026-06,OUT-009979,CLM-009979,resolved
ACC-009980,support-v4.2,1.50,2026-06-08T07:20:00,order_update,CONV-009980,USD,CUST-009980,INV-NOVA-2026-06,OUT-009980,CLM-009980,resolved
ACC-009981,cancel-v3.1,1.50,2026-06-08T07:21:00,cancel_subscription,CONV-009981,USD,CUST-009981,INV-NOVA-2026-06,OUT-009981,CLM-009981,resolved
ACC-009982,support-v4.2,1.50,2026-06-08T07:22:00,order_update,CONV-009982,USD,CUST-009982,INV-NOVA-2026-06,OUT-009982,CLM-009982,resolved
ACC-009983,support-v4.2,1.50,2026-06-08T07:23:00,order_update,CONV-009983,USD,CUST-009983,INV-NOVA-2026-06,OUT-009983,CLM-009983,resolved
ACC-009984,cancel-v3.1,1.50,2026-06-08T07:24:00,cancel_subscription,CONV-009984,USD,CUST-009984,INV-NOVA-2026-06,OUT-009984,CLM-009984,resolved
ACC-009985,support-v4.2,1.50,2026-06-08T07:25:00,order_update,CONV-009985,USD,CUST-009985,INV-NOVA-2026-06,OUT-009985,CLM-009985,resolved
ACC-009986,support-v4.2,1.50,2026-06-08T07:26:00,order_update,CONV-009986,USD,CUST-009986,INV-NOVA-2026-06,OUT-009986,CLM-009986,resolved
ACC-009987,cancel-v3.1,1.50,2026-06-08T07:27:00,cancel_subscription,CONV-009987,USD,CUST-009987,INV-NOVA-2026-06,OUT-009987,CLM-009987,resolved
ACC-009988,support-v4.2,1.50,2026-06-08T07:28:00,order_update,CONV-009988,USD,CUST-009988,INV-NOVA-2026-06,OUT-009988,CLM-009988,resolved
ACC-009989,support-v4.2,1.50,2026-06-08T07:29:00,order_update,CONV-009989,USD,CUST-009989,INV-NOVA-2026-06,OUT-009989,CLM-009989,resolved
ACC-009990,cancel-v3.1,1.50,2026-06-08T07:30:00,cancel_subscription,CONV-009990,USD,CUST-009990,INV-NOVA-2026-06,OUT-009990,CLM-009990,resolved
ACC-009991,support-v4.2,1.50,2026-06-08T07:31:00,order_update,CONV-009991,USD,CUST-009991,INV-NOVA-2026-06,OUT-009991,CLM-009991,resolved
ACC-009992,support-v4.2,1.50,2026-06-08T07:32:00,order_update,CONV-009992,USD,CUST-009992,INV-NOVA-2026-06,OUT-009992,CLM-009992,resolved
ACC-009993,cancel-v3.1,1.50,2026-06-08T07:33:00,cancel_subscription,CONV-009993,USD,CUST-009993,INV-NOVA-2026-06,OUT-009993,CLM-009993,resolved
ACC-009994,support-v4.2,1.50,2026-06-08T07:34:00,order_update,CONV-009994,USD,CUST-009994,INV-NOVA-2026-06,OUT-009994,CLM-009994,resolved
ACC-009995,support-v4.2,1.50,2026-06-08T07:35:00,order_update,CONV-009995,USD,CUST-009995,INV-NOVA-2026-06,OUT-009995,CLM-009995,resolved
ACC-009996,cancel-v3.1,1.50,2026-06-08T07:36:00,cancel_subscription,CONV-009996,USD,CUST-009996,INV-NOVA-2026-06,OUT-009996,CLM-009996,resolved
ACC-009997,support-v4.2,1.50,2026-06-08T07:37:00,order_update,CONV-009997,USD,CUST-009997,INV-NOVA-2026-06,OUT-009997,CLM-009997,resolved
ACC-009998,support-v4.2,1.50,2026-06-08T07:38:00,order_update,CONV-009998,USD,CUST-009998,INV-NOVA-2026-06,OUT-009998,CLM-009998,resolved
ACC-009999,cancel-v3.1,1.50,2026-06-08T07:39:00,cancel_subscription,CONV-009999,USD,CUST-009999,INV-NOVA-2026-06,OUT-009999,CLM-009999,resolved
ACC-010000,support-v4.2,1.50,2026-06-08T07:40:00,order_update,CONV-010000,USD,CUST-010000,INV-NOVA-2026-06,OUT-010000,CLM-010000,resolved
